Loan_Id,Disbursed_Amount,Asset_Cost,ltv,Branch_Id,Employment_Type,MobileNo_Avl_Flag,Aadhar_flag,PAN_flag,VoterID_flag,Driving_flag,Passport_flag,cns_score,delq_acc_6months,no_of_inquiries,Loan_Default,State_Name,City_Name,Region_Name,Disbursalmonth,Age,credit_hist_len_months
1,36439,65850,56.19,64,Self employed,1,1,0,0,0,0,0,0,0,0,Maharashtra,Mumbai,West,9,32,0
2,48749,69303,72.15,67,Salaried,1,1,0,0,0,0,783,0,0,0,Tamil Nadu,Chennai,South,9,31,30
3,55348,66340,85.0,2,Self employed,1,1,0,0,0,0,0,0,0,1,Bihar,Patna,East,8,29,0
4,48849,64133,77.96,217,Self employed,1,1,0,0,0,0,0,0,0,0,Rajasthan,Jaipur,North,10,33,0
5,40394,59386,70.72,74,Self employed,1,1,0,0,0,0,14,1,1,0,Tamil Nadu,Chennai,South,9,48,37
6,51803,67466,79.3,162,Self employed,1,1,0,0,0,0,300,0,0,0,Bihar,Patna,East,8,58,14
7,61947,109094,58.21,251,Self employed,1,0,0,1,0,0,737,0,0,0,Jharkhand,Jamshedpur,East,8,33,13
8,51301,61815,85.0,67,Salaried,1,1,0,0,0,0,0,0,0,0,Jharkhand,Ranchi,East,8,27,0
9,65882,80461,84.51,255,Self employed,1,1,0,0,0,0,0,0,0,0,Uttarakhand,Dehradun,North,10,28,0
10,34639,69717,50.49,34,Self employed,1,1,0,0,0,0,300,0,0,1,Maharashtra,Mumbai,West,10,40,37
11,51996,63051,85.0,147,Salaried,1,1,0,0,0,0,0,0,0,0,Karnataka,Mangalore,South,9,38,0
12,64269,85632,77.07,146,Salaried,1,1,0,0,0,0,0,0,0,0,Tamil Nadu,Chennai,South,8,32,0
13,68377,90512,79.55,20,Self employed,1,1,0,0,0,0,654,1,1,0,Rajasthan,Jaipur,North,8,47,24
14,61256,73000,84.99,2,Salaried,1,1,0,0,0,0,0,0,0,0,Gujarat,Ahmedabad,West,9,27,0
15,46949,64600,74.92,67,Self employed,1,1,0,0,0,0,524,0,0,0,Gujarat,Ahmedabad,West,8,47,0
16,56333,80271,73.5,7,Self employed,1,1,0,0,0,0,653,0,0,0,Madhya Pradesh,Indore,West,10,38,1
17,73717,94315,79.41,165,Salaried,1,1,0,0,0,0,16,0,0,0,Punjab,Ludhiana,North,9,47,13
18,54373,73891,77.14,152,Self employed,1,1,0,0,0,0,0,0,0,0,Maharashtra,Mumbai,West,9,32,0
19,72817,82820,89.35,2,Salaried,1,1,0,0,0,0,753,1,0,0,Andhra Pradesh,Nellore,South,10,28,13
20,78151,107074,74.25,135,Self employed,1,1,1,1,0,0,0,0,0,1,Maharashtra,Aurangabad,West,10,35,0
21,58409,70669,84.9,5,Salaried,1,1,0,0,0,0,0,0,2,0,Uttar Pradesh,kanpur,North,10,26,0
22,46349,68751,69.82,159,Self employed,1,1,0,0,0,0,0,0,0,0,Odisha,Bhubaneshwar,East,9,29,0
23,67269,91362,75.52,16,Salaried,1,1,0,0,0,0,0,0,0,0,Kerala,Thrissur,South,9,26,0
24,56595,71514,84.52,85,Salaried,1,1,0,0,0,0,825,0,0,0,Kerala,Kochi,South,9,48,16
25,66002,81642,84.52,10,Self employed,1,1,0,0,0,0,0,0,0,0,Jharkhand,Ranchi,East,9,36,0
26,49349,70283,71.14,68,Self employed,1,1,0,0,0,0,0,0,0,0,Tamil Nadu,Coimbatore,South,10,32,0
27,45795,61513,76.41,73,Salaried,1,1,0,0,0,0,0,0,0,1,Rajasthan,Jaipur,North,9,44,0
28,53303,63376,86.78,3,Salaried,1,1,1,0,0,0,710,0,0,1,Kerala,Thrissur,South,9,33,6
29,53478,70418,77.96,2,Salaried,1,1,0,0,0,0,0,0,0,0,Gujarat,Vadodara,West,9,59,0
30,51303,111955,47.34,103,Salaried,1,1,0,0,0,0,835,0,0,0,Gujarat,Ahmedabad,West,10,59,13
31,89143,113587,79.85,2,Salaried,1,1,0,0,0,0,0,0,0,0,Tamil Nadu,Vellore,South,10,37,0
32,96939,145449,68.37,65,Salaried,1,0,0,1,0,0,694,0,0,1,Jharkhand,Ranchi,East,10,59,53
33,48349,83069,58.99,10,Self employed,1,1,0,0,0,0,0,0,0,0,Jharkhand,Jamshedpur,East,10,37,0
34,20574,39605,55.55,130,Self employed,1,1,0,0,0,0,760,0,0,0,Madhya Pradesh,Indore,West,8,56,20
35,33484,51530,65.98,20,Self employed,1,1,0,0,0,0,0,0,0,0,Bihar,Patna,East,10,38,0
36,45715,53798,89.22,61,Self employed,1,1,0,0,0,0,0,0,0,0,Madhya Pradesh,Indore,West,8,44,0
37,44145,74500,61.74,152,Self employed,1,1,0,0,0,0,17,0,0,0,Maharashtra,Mumbai,West,9,39,2
38,47049,65000,73.38,2,Salaried,1,1,1,0,0,0,0,0,0,0,Karnataka,Mangalore,South,8,27,0
39,34639,61380,57.84,62,Salaried,1,1,0,0,0,0,825,0,0,0,Karnataka,Bangalore,South,9,33,1
40,49638,62588,83.88,70,Salaried,1,1,0,0,0,0,708,0,0,0,Bihar,Patna,East,9,36,8
41,60213,70636,86.36,100,Self employed,1,1,0,0,0,0,0,0,1,1,Bihar,Patna,East,10,42,0
42,55659,71800,79.39,67,Salaried,1,1,0,0,0,0,0,0,0,0,Kerala,Thrissur,South,10,47,0
43,44894,61248,79.19,74,Self employed,1,1,0,0,0,0,0,0,0,0,Gujarat,Ahmedabad,West,9,63,0
44,50203,66238,77.75,67,Salaried,1,1,0,0,0,0,0,0,0,1,Jharkhand,Ranchi,East,10,26,0
45,68169,102343,68.4,103,Self employed,1,1,1,0,0,0,0,0,1,1,Gujarat,Surat,West,8,33,0
46,50578,72985,71.25,251,Self employed,1,0,0,1,0,0,0,0,0,1,Kerala,Thrissur,South,9,53,0
47,61947,72735,87.99,152,Self employed,1,1,0,0,0,0,300,0,0,0,Punjab,Ludhiana,North,8,46,18
48,52478,66275,81.48,67,Self employed,1,1,0,0,0,0,0,0,0,0,Maharashtra,Aurangabad,West,9,30,0
49,69600,83780,84.75,136,Self employed,1,1,0,0,0,0,845,0,0,0,Andhra Pradesh,Nellore,South,8,39,36
50,65382,75540,89.36,77,Salaried,1,1,0,0,0,0,637,0,2,1,Madhya Pradesh,Indore,West,10,55,69
51,51803,68183,79.2,138,Self employed,1,1,0,0,0,0,0,0,0,0,Maharashtra,Pune,West,10,27,0
52,56259,80145,72.37,1,Self employed,1,0,0,1,0,0,0,0,0,0,Gujarat,Surat,West,9,32,0
53,38139,85563,46.75,9,Self employed,1,1,0,0,0,0,796,0,0,1,Maharashtra,Mumbai,West,10,55,24
54,64382,87500,74.86,2,Salaried,1,1,0,0,0,0,488,0,0,0,Andhra Pradesh,Nellore,South,8,48,64
55,51295,60663,87.86,61,Self employed,1,1,0,0,0,0,300,1,0,0,Tamil Nadu,Vellore,South,10,46,0
56,26029,62882,42.94,67,Self employed,1,1,0,0,0,0,738,0,1,0,Kerala,Kochi,South,8,31,6
57,59259,75500,79.47,16,Self employed,1,1,0,0,0,0,0,0,0,1,Kerala,Kochi,South,10,50,0
58,65382,75661,89.21,13,Self employed,1,1,0,0,0,0,760,0,0,1,Jharkhand,Ranchi,East,10,43,15
